yr,mon,wk,qtr,product_group,visits,clicks,x,sub.apps,used.apps,app.used.conv.rate,total.rev,avg.invoice.val,profit,y,value.per.sub.app,profit.per.sub.app
2013,7,28,3,Electronics,4269,4144,5870.390007,83,14,1.1857,35658.37971,10875.79258,10412.24688,4541.856869,429.6190327,54.7211671
2013,7,29,3,Electronics,4990,4891,7973.309998,90,18,1.5807,38159.03957,10493.25538,11142.43956,3169.129557,423.9893286,35.21255063
2013,7,30,3,Electronics,6794,7065,15414.09,124,22,1.1967,32861.15961,7769.131486,9595.458606,-5818.631398,265.0093517,-46.92444676
2013,7,31,3,Electronics,557,515,612.2199989,12,6,2,8521.60993,2469.864979,2488.3101,1876.090101,710.1341608,156.3408417
2013,5,18,2,Finance,151,113,739.5400085,14,1,0.25,3399.959961,3399.959961,1213.785706,474.2456976,242.8542829,33.87469268
2013,5,19,2,Finance,213,219,1616.389999,17,4,1.4167,8159.579881,6469.669923,2912.970017,1296.580019,479.9752871,76.26941287
2013,5,20,2,Finance,237,222,1676.509993,24,1,0.5,1299.98999,1299.98999,464.0964264,-1212.413567,54.16624958,-50.51723194
2013,5,21,2,Finance,246,211,1676.640004,32,2,0.5,4664.819931,2332.409966,1665.340715,-11.29928843,145.7756228,-0.353102764
2013,5,22,2,Finance,144,129,912.7999998,23,4,1.0833,5449.829925,4214.844939,1945.589283,1032.789284,236.9491272,44.90388189
2013,6,22,2,Finance,41,36,246.7600031,1,0,0,0,0,0,-246.7600031,0,-246.7600031
2013,6,23,2,Finance,144,144,833.4799993,17,2,0.4167,10139.62991,10139.62991,3619.847878,2786.367879,596.4488182,163.9039929
2013,6,24,2,Finance,226,200,1320.789987,21,4,2,4509.87999,1127.469997,1610.027156,289.237169,214.75619,13.77319852
2013,6,25,2,Finance,208,194,999.9300061,18,4,4,7239.819939,1809.954985,2584.615718,1584.685712,402.2122188,88.03809512
2013,6,26,2,Finance,212,199,892.0500022,24,2,0.5833,3649.879974,3649.879974,1303.007151,410.9571485,152.0783323,17.12321452
2013,7,27,3,Finance,214,201,884.3900071,14,1,1,999.8999863,999.8999863,356.9642951,-527.425712,71.42142759,-37.67326514
2013,7,28,3,Finance,312,287,1393.659995,42,3,0.3247,4367.599914,3108.719925,1559.233169,165.5731743,103.9904741,3.942218436
2013,7,29,3,Finance,442,389,2414.400034,39,3,0.619,4683.769944,3084.364966,1672.10587,-742.2941636,120.0966652,-19.03318368
2013,7,30,3,Finance,507,467,3575.199994,55,2,0.1944,5679.859902,5679.859902,2027.709985,-1547.490009,103.27018,-28.13618198
2013,7,31,3,Finance,41,25,234.1100006,5,0,0,0,0,0,-234.1100006,0,-46.82200012
2013,5,18,2,Furniture,5316,5169,7756.049965,59,4,0.3031,10280.33983,8335.379867,5047.646856,-2708.403109,174.2430479,-45.90513745
2013,5,19,2,Furniture,6374,6131,9205.899939,87,10,0.7143,27743.20968,15204.93316,13621.91595,4416.016016,318.8874676,50.75880478
2013,5,20,2,Furniture,7090,6748,10048.82997,105,15,1.0356,32657.84959,13659.38149,16035.00415,5986.174178,311.027139,57.01118264
2013,5,21,2,Furniture,7470,6999,10326.81994,115,28,1.9126,59424.04954,14592.43239,29177.20832,18850.38838,516.7308655,163.9164207
2013,5,22,2,Furniture,4193,3907,5828.639982,64,14,1.0612,30518.86951,11338.80235,14984.76493,9156.124945,476.857336,143.0644523
2013,6,22,2,Furniture,1520,1390,2088.889993,15,5,0.9167,11317.72988,4257.064954,5557.005372,3468.115379,754.5153254,231.2076919
2013,6,23,2,Furniture,5817,5375,7905.619941,80,11,0.9885,25378.29974,14735.21818,12460.74517,4555.125233,317.2287468,56.93906541
2013,6,24,2,Furniture,6343,5887,9308.619999,80,25,1.8649,50099.55943,14583.18849,24598.88368,15290.26368,626.2444929,191.128296
2013,6,25,2,Furniture,6710,6205,10520.7,108,22,1.4122,46601.19947,12564.06225,22881.18894,12360.48894,431.4925877,114.4489717
2013,6,26,2,Furniture,6903,6305,10133.17999,116,31,2.0417,69733.06925,12958.03829,34238.937,24105.75702,601.1471487,207.8082501
2013,7,27,3,Furniture,7200,6625,9972.620059,135,28,1.4006,58146.07934,13259.90401,28549.72496,18577.1049,430.7116988,137.6081844
2013,7,28,3,Furniture,7095,6405,9900.070062,126,26,1.419,66488.12922,15912.58275,32645.67145,22745.60138,527.6835652,180.5206459
2013,7,29,3,Furniture,7760,7177,12771.59003,126,27,1.4595,56231.26949,12437.76228,27609.55332,14837.96329,446.2799166,117.7616134
2013,7,30,3,Furniture,7276,6724,13008.52002,134,25,1.2845,58635.05945,13339.01321,28789.81419,15781.29417,437.5750705,117.770852
2013,7,31,3,Furniture,888,655,332.250002,27,5,0.5267,15780.55003,6898.743332,7748.250065,7416.000063,584.464816,274.666669
2013,5,18,2,Lawn Equipment,1362,1395,1832.810008,16,3,0.7,9664.879943,6532.429962,1198.445113,-634.3648951,604.0549964,-39.64780594
2013,5,19,2,Lawn Equipment,861,894,1179.469995,14,4,1.0667,10499.85999,5249.929992,1301.982638,122.5126436,749.9899989,8.750903117
2013,5,20,2,Lawn Equipment,1088,1098,1431.709989,15,6,4.8333,16474.63998,10958.52498,2042.855358,611.1453691,1098.309332,40.74302461
2013,5,21,2,Lawn Equipment,1127,1158,1488.679992,15,7,3.3334,17269.65997,12144.73998,2141.437837,652.7578448,1151.310665,43.51718966
2013,5,22,2,Lawn Equipment,702,685,841.4100018,12,5,2.1667,10839.75995,6669.874967,1344.130233,502.7202314,903.3133288,41.89335262
2013,6,22,2,Lawn Equipment,270,274,335.1800009,1,0,0,0,0,0,-335.1800009,0,-335.1800009
2013,6,23,2,Lawn Equipment,1074,1099,1603.52,17,5,2.1667,5549.739945,3024.839966,688.1677532,-915.352247,326.4552909,-53.84424982
2013,6,24,2,Lawn Equipment,1255,1295,2103.090006,18,4,0.95,5859.929947,2086.636653,726.6313134,-1376.458692,325.5516637,-76.46992735
2013,6,25,2,Lawn Equipment,1555,1589,2460.08001,18,5,1.4762,14349.8999,7883.279947,1779.387588,-680.6924217,797.2166612,-37.81624565
2013,6,26,2,Lawn Equipment,827,826,1286.479997,11,4,3,17399.77991,12649.81995,2157.572708,871.0927117,1581.798173,79.19024652
2013,7,27,3,Lawn Equipment,711,689,1046.410006,8,3,1,6009.959968,6009.959968,745.235036,-301.1749695,751.244996,-37.64687118
2013,7,28,3,Lawn Equipment,702,698,1077.050014,9,1,1,2449.97998,2449.97998,303.7975175,-773.2524967,272.2199978,-85.91694408
2013,7,29,3,Lawn Equipment,1235,1265,2123.459996,12,6,2.5,21019.41976,14349.67985,2606.40805,482.9480537,1751.618313,40.24567114
2013,7,30,3,Lawn Equipment,1441,1513,2930.710024,12,4,2.1667,12259.92993,8929.94995,1520.231311,-1410.478713,1021.660828,-117.5398927
2013,7,31,3,Lawn Equipment,48,64,151.6800018,3,0,0,0,0,0,-151.6800018,0,-50.5600006
